Building validation model:
label[[[5]]] prediction[[[5]]] accuracy[1.0]
label[[[0]]] prediction[[[9]]] accuracy[0.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[11]]] prediction[[[11]]] accuracy[1.0]
label[[[3]]] prediction[[[4]]] accuracy[0.0]
label[[[17]]] prediction[[[17]]] accuracy[1.0]
label[[[3]]] prediction[[[3]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[15]]] prediction[[[15]]] accuracy[1.0]
label[[[5]]] prediction[[[5]]] accuracy[1.0]
label[[[15]]] prediction[[[15]]] accuracy[1.0]
label[[[4]]] prediction[[[4]]] accuracy[1.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[1]]] prediction[[[1]]] accuracy[1.0]
label[[[12]]] prediction[[[12]]] accuracy[1.0]
label[[[5]]] prediction[[[5]]] accuracy[1.0]
label[[[13]]] prediction[[[13]]] accuracy[1.0]
label[[[2]]] prediction[[[2]]] accuracy[1.0]
label[[[19]]] prediction[[[19]]] accuracy[1.0]
label[[[8]]] prediction[[[8]]] accuracy[1.0]
label[[[0]]] prediction[[[0]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
label[[[19]]] prediction[[[19]]] accuracy[1.0]
label[[[11]]] prediction[[[11]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
label[[[2]]] prediction[[[2]]] accuracy[1.0]
label[[[11]]] prediction[[[11]]] accuracy[1.0]
label[[[6]]] prediction[[[6]]] accuracy[1.0]
label[[[4]]] prediction[[[4]]] accuracy[1.0]
label[[[12]]] prediction[[[12]]] accuracy[1.0]
label[[[13]]] prediction[[[13]]] accuracy[1.0]
label[[[19]]] prediction[[[15]]] accuracy[0.0]
label[[[19]]] prediction[[[18]]] accuracy[0.0]
label[[[4]]] prediction[[[4]]] accuracy[1.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[1]]] prediction[[[1]]] accuracy[1.0]
label[[[14]]] prediction[[[14]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[6]]] prediction[[[6]]] accuracy[1.0]
label[[[4]]] prediction[[[4]]] accuracy[1.0]
label[[[0]]] prediction[[[0]]] accuracy[1.0]
label[[[1]]] prediction[[[1]]] accuracy[1.0]
label[[[6]]] prediction[[[6]]] accuracy[1.0]
label[[[5]]] prediction[[[5]]] accuracy[1.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[19]]] prediction[[[19]]] accuracy[1.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[15]]] prediction[[[15]]] accuracy[1.0]
label[[[7]]] prediction[[[7]]] accuracy[1.0]
label[[[17]]] prediction[[[17]]] accuracy[1.0]
label[[[18]]] prediction[[[18]]] accuracy[1.0]
label[[[3]]] prediction[[[3]]] accuracy[1.0]
label[[[16]]] prediction[[[16]]] accuracy[1.0]
label[[[16]]] prediction[[[16]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
label[[[1]]] prediction[[[1]]] accuracy[1.0]
label[[[6]]] prediction[[[6]]] accuracy[1.0]
label[[[13]]] prediction[[[13]]] accuracy[1.0]
label[[[19]]] prediction[[[19]]] accuracy[1.0]
label[[[2]]] prediction[[[2]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[9]]] prediction[[[9]]] accuracy[1.0]
label[[[11]]] prediction[[[11]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
label[[[18]]] prediction[[[18]]] accuracy[1.0]
label[[[13]]] prediction[[[13]]] accuracy[1.0]
label[[[8]]] prediction[[[8]]] accuracy[1.0]
label[[[10]]] prediction[[[10]]] accuracy[1.0]
accuracy =  0.9625
Normalized confusion matrix
[[0.875 0.    0.    0.    0.    0.    0.    0.    0.    0.125 0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    1.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    1.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.875 0.125 0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    1.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    1.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.875 0.    0.    0.
  0.    0.125 0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    1.    0.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    1.    0.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    1.
  0.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  1.    0.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    1.    0.    0.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.875 0.    0.    0.    0.    0.125]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    1.    0.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    1.    0.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    1.    0.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.    0.    0.    1.    0.   ]
 [0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  0.    0.    0.    0.125 0.    0.    0.125 0.75 ]]
